Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity,Dipole Moment
10,1201,n-propyl benzene,C9H12,44,"A""",0.0,,0.248
337,1232,Perchloryl fluoride,ClFO3,4,E,323.3,,0.498
5917,2381,tetracyanomethane,C(CN)4,6,T2,1.1,,0.0
